id,gene,cell,nsnp,b,se,CIlower,CIupper,pval,intercept,intercept_se,inter_CIlower,inter_CIupper,intercept_pval,hetero_Q,hetero_pvale,lo_ci,up_ci,or,or_lci95,or_uci95,fdr,cancer,cancerid,match,PPH4.PWCOCO.,ldcheck,H4..conventional.coloc.
"GGCX_T cell, CD4, naive TREG",GGCX,"T cell, CD4, naive TREG",1,-0.069658023,0.006887339,NA,NA,4.79E-24,NA,NA,NA,NA,NA,NA,NA,-0.083157207,-0.056158839,0.932712732,0.920206473,0.94538896,9.11E-21,Prostate cancer,ieu-b-85,"GGCX_T cell, CD4, naive TREG_Prostate cancer_ieu-b-85",0.973257891,1,0.973258
"GGCX_T cell, CD4, memory TREG",GGCX,"T cell, CD4, memory TREG",1,-0.066462261,0.006571362,NA,NA,4.79E-24,NA,NA,NA,NA,NA,NA,NA,-0.079342131,-0.053582391,0.935698227,0.923723835,0.947827846,9.11E-21,Prostate cancer,ieu-b-85,"GGCX_T cell, CD4, memory TREG_Prostate cancer_ieu-b-85",0.976639209,1,0.976639
"GGCX_T cell, CD4, TH1 TH17",GGCX,"T cell, CD4, TH1 TH17",1,-0.066575824,0.006582591,NA,NA,4.79E-24,NA,NA,NA,NA,NA,NA,NA,-0.079477703,-0.053673946,0.935591972,0.923598614,0.947741071,9.11E-21,Prostate cancer,ieu-b-85,"GGCX_T cell, CD4, TH1 TH17_Prostate cancer_ieu-b-85",0.972454592,1,0.972455
"GGCX_T cell, CD4, TH17",GGCX,"T cell, CD4, TH17",1,-0.066623463,0.006587301,NA,NA,4.79E-24,NA,NA,NA,NA,NA,NA,NA,-0.079534573,-0.053712353,0.935547404,0.92354609,0.947704672,9.11E-21,Prostate cancer,ieu-b-85,"GGCX_T cell, CD4, TH17_Prostate cancer_ieu-b-85",0.97697426,1,0.976974
"ZFP30_T cell, CD4, naive",ZFP30,"T cell, CD4, naive",1,-0.049338068,0.011377043,NA,NA,1.45E-05,NA,NA,NA,NA,NA,NA,NA,-0.071637072,-0.027039063,0.951859283,0.930868673,0.97332322,0.000912454,Prostate cancer,ieu-b-85,"ZFP30_T cell, CD4, naive_Prostate cancer_ieu-b-85",0.849101924,1,0.849102
"HCG4_T cell, CD4, naive",HCG4,"T cell, CD4, naive",1,0.031110856,0.008769503,NA,NA,0.00038873,NA,NA,NA,NA,NA,NA,NA,0.01392263,0.048299082,1.031599857,1.014020001,1.04948449,0.012956815,Prostate cancer,ieu-b-85,"HCG4_T cell, CD4, naive_Prostate cancer_ieu-b-85",3.67E-08,1,1
"HCG4_T cell, CD4, memory TREG",HCG4,"T cell, CD4, memory TREG",1,0.029558568,0.008331945,NA,NA,0.00038873,NA,NA,NA,NA,NA,NA,NA,0.013227955,0.045889181,1.029999759,1.013315831,1.046958381,0.012956815,Prostate cancer,ieu-b-85,"HCG4_T cell, CD4, memory TREG_Prostate cancer_ieu-b-85",1.92E-05,1,1
"HCG4_T cell, CD8, naive",HCG4,"T cell, CD8, naive",1,0.029349257,0.008272945,NA,NA,0.00038873,NA,NA,NA,NA,NA,NA,NA,0.013134285,0.045564229,1.029784191,1.013220918,1.046618225,0.012956815,Prostate cancer,ieu-b-85,"HCG4_T cell, CD8, naive_Prostate cancer_ieu-b-85",1.90E-06,1,1
"HCG4_T cell, CD8, naive activated",HCG4,"T cell, CD8, naive activated",1,0.02735216,0.007710005,NA,NA,0.00038873,NA,NA,NA,NA,NA,NA,NA,0.01224055,0.042463769,1.027729664,1.012315773,1.043378253,0.012956815,Prostate cancer,ieu-b-85,"HCG4_T cell, CD8, naive activated_Prostate cancer_ieu-b-85",0.000494228,1,1
"HCG4_T cell, CD4, TH2",HCG4,"T cell, CD4, TH2",1,0.037424037,0.010549057,NA,NA,0.00038873,NA,NA,NA,NA,NA,NA,NA,0.016747884,0.058100189,1.038133134,1.016888917,1.059821173,0.012956815,Prostate cancer,ieu-b-85,"HCG4_T cell, CD4, TH2_Prostate cancer_ieu-b-85",3.34E-08,1,1
"HLA-H_B cell, naive",HLA-H,"B cell, naive",1,0.035526935,0.007894874,NA,NA,6.80E-06,NA,NA,NA,NA,NA,NA,NA,0.020052981,0.051000889,1.036165557,1.020255393,1.052323829,0.000494174,Prostate cancer,ieu-b-85,"HLA-H_B cell, naive_Prostate cancer_ieu-b-85",1.54E-06,0.867068257,1
"HCG4_T cell, CD4, TFH",HCG4,"T cell, CD4, TFH",1,0.034274838,0.009470679,NA,NA,0.000295689,NA,NA,NA,NA,NA,NA,NA,0.015712307,0.052837368,1.034868988,1.015836394,1.054258175,0.011118228,Prostate cancer,ieu-b-85,"HCG4_T cell, CD4, TFH_Prostate cancer_ieu-b-85",1.50E-08,0.96235119,1
"ZFP90_Monocyte, classical",ZFP90,"Monocyte, classical",1,0.038525163,0.010348183,NA,NA,0.000196954,NA,NA,NA,NA,NA,NA,NA,0.018242725,0.058807602,1.03927688,1.01841014,1.060571169,0.008223917,Prostate cancer,ieu-b-85,"ZFP90_Monocyte, classical_Prostate cancer_ieu-b-85",0.096164426,0.995990028,1
"RAD51C_NK cell, CD56dim CD16+",RAD51C,"NK cell, CD56dim CD16+",1,-0.031849062,0.007801412,NA,NA,4.46E-05,NA,NA,NA,NA,NA,NA,NA,-0.04713983,-0.016558295,0.968652777,0.953953997,0.98357804,0.00244494,Prostate cancer,ieu-b-85,"RAD51C_NK cell, CD56dim CD16+_Prostate cancer_ieu-b-85",0.682349874,0.993935223,0.912797
"RAD51C_T cell, CD4, naive activated",RAD51C,"T cell, CD4, naive activated",1,-0.029497653,0.007225435,NA,NA,4.46E-05,NA,NA,NA,NA,NA,NA,NA,-0.043659506,-0.0153358,0.970933157,0.95727985,0.984781195,0.00244494,Prostate cancer,ieu-b-85,"RAD51C_T cell, CD4, naive activated_Prostate cancer_ieu-b-85",0.662536998,0.993935223,0.852526
"HLA-V_B cell, naive",HLA-V,"B cell, naive",1,0.048241944,0.012814266,NA,NA,0.000166745,NA,NA,NA,NA,NA,NA,NA,0.023125982,0.073357907,1.049424527,1.023395461,1.076115617,0.007039891,Prostate cancer,ieu-b-85,"HLA-V_B cell, naive_Prostate cancer_ieu-b-85",1.54E-06,0.824207964,1
"PM20D1_NK cell, CD56dim CD16+",PM20D1,"NK cell, CD56dim CD16+",1,0.040377581,0.006943915,NA,NA,6.07E-09,NA,NA,NA,NA,NA,NA,NA,0.026767507,0.053987655,1.041203839,1.027128975,1.055471572,1.85E-06,Prostate cancer,ieu-b-85,"PM20D1_NK cell, CD56dim CD16+_Prostate cancer_ieu-b-85",0.973674631,0.995830356,0.973675
"PM20D1_T cell, CD4, TFH",PM20D1,"T cell, CD4, TFH",1,0.044441217,0.007642757,NA,NA,6.07E-09,NA,NA,NA,NA,NA,NA,NA,0.029461413,0.059421021,1.045443521,1.029899694,1.061221944,1.85E-06,Prostate cancer,ieu-b-85,"PM20D1_T cell, CD4, TFH_Prostate cancer_ieu-b-85",0.948434079,0.995830356,0.948434
"SLC41A1_T cell, CD4, TH2",SLC41A1,"T cell, CD4, TH2",1,-0.056902038,0.009785701,NA,NA,6.07E-09,NA,NA,NA,NA,NA,NA,NA,-0.076082012,-0.037722065,0.944686608,0.9267402,0.96298055,1.85E-06,Prostate cancer,ieu-b-85,"SLC41A1_T cell, CD4, TH2_Prostate cancer_ieu-b-85",0.455086708,0.995830356,0.990352
"PM20D1_T cell, CD8, naive",PM20D1,"T cell, CD8, naive",1,0.04026773,0.006925024,NA,NA,6.07E-09,NA,NA,NA,NA,NA,NA,NA,0.026694684,0.053840777,1.041089468,1.027054179,1.055316558,1.85E-06,Prostate cancer,ieu-b-85,"PM20D1_T cell, CD8, naive_Prostate cancer_ieu-b-85",0.597629753,0.995830356,1
"HCG4P11_B cell, naive",HCG4P11,"B cell, naive",1,0.038849215,0.008882609,NA,NA,1.22E-05,NA,NA,NA,NA,NA,NA,NA,0.0214393,0.056259129,1.039613714,1.021670773,1.057871774,0.000811052,Prostate cancer,ieu-b-85,"HCG4P11_B cell, naive_Prostate cancer_ieu-b-85",1.58E-06,0.927910285,1
"HCG4P11_T cell, CD4, naive",HCG4P11,"T cell, CD4, naive",1,0.037586978,0.008594008,NA,NA,1.22E-05,NA,NA,NA,NA,NA,NA,NA,0.020742723,0.054431233,1.038302303,1.020959349,1.05593986,0.000811052,Prostate cancer,ieu-b-85,"HCG4P11_T cell, CD4, naive_Prostate cancer_ieu-b-85",5.02E-08,0.891572181,1
"HCG4B_T cell, CD4, naive",HCG4B,"T cell, CD4, naive",1,0.037598103,0.007905714,NA,NA,1.98E-06,NA,NA,NA,NA,NA,NA,NA,0.022102904,0.053093302,1.038313854,1.022348983,1.05452803,0.00019013,Prostate cancer,ieu-b-85,"HCG4B_T cell, CD4, naive_Prostate cancer_ieu-b-85",3.61E-08,0.995265617,1
"GTF2A2_T cell, CD8, naive",GTF2A2,"T cell, CD8, naive",1,-0.041664855,0.009506629,NA,NA,1.17E-05,NA,NA,NA,NA,NA,NA,NA,-0.060297848,-0.023031862,0.959191195,0.941484073,0.977231346,0.000784783,Prostate cancer,ieu-b-85,"GTF2A2_T cell, CD8, naive_Prostate cancer_ieu-b-85",0.86857034,0.991324896,0.86857
"RAB7L1_T cell, CD4, naive activated",RAB7L1,"T cell, CD4, naive activated",1,-0.045486608,0.008605575,NA,NA,1.25E-07,NA,NA,NA,NA,NA,NA,NA,-0.062353534,-0.028619682,0.955532399,0.939550665,0.971785982,2.29E-05,Prostate cancer,ieu-b-85,"RAB7L1_T cell, CD4, naive activated_Prostate cancer_ieu-b-85",0.000144925,0.99551504,1
"RAB7L1_T cell, CD8, naive activated",RAB7L1,"T cell, CD8, naive activated",1,-0.052917693,0.010011456,NA,NA,1.25E-07,NA,NA,NA,NA,NA,NA,NA,-0.072540146,-0.033295241,0.948458074,0.930028409,0.967252945,2.29E-05,Prostate cancer,ieu-b-85,"RAB7L1_T cell, CD8, naive activated_Prostate cancer_ieu-b-85",0.638792071,0.99551504,0.961095
"RAB7L1_T cell, CD4, naive TREG",RAB7L1,"T cell, CD4, naive TREG",1,-0.061081167,0.011555897,NA,NA,1.25E-07,NA,NA,NA,NA,NA,NA,NA,-0.083730725,-0.03843161,0.940746879,0.91967887,0.962297514,2.29E-05,Prostate cancer,ieu-b-85,"RAB7L1_T cell, CD4, naive TREG_Prostate cancer_ieu-b-85",0.841686252,0.99551504,0.841762
"FAAH_T cell, CD4, naive TREG",FAAH,"T cell, CD4, naive TREG",1,0.038013122,0.009809838,NA,NA,0.000106625,NA,NA,NA,NA,NA,NA,NA,0.01878584,0.057240404,1.038744863,1.018963404,1.058910346,0.005144726,Prostate cancer,ieu-b-85,"FAAH_T cell, CD4, naive TREG_Prostate cancer_ieu-b-85",0.488387449,0.995313504,0.979555
"ATOH8_Monocyte, classical",ATOH8,"Monocyte, classical",1,-0.032889783,0.007871059,NA,NA,2.93E-05,NA,NA,NA,NA,NA,NA,NA,-0.048317059,-0.017462507,0.967645205,0.952831636,0.982689079,0.001708262,Prostate cancer,ieu-b-85,"ATOH8_Monocyte, classical_Prostate cancer_ieu-b-85",9.72E-18,0.983706912,1
"ZDHHC7_T cell, CD4, memory TREG",ZDHHC7,"T cell, CD4, memory TREG",1,-0.037031894,0.009280069,NA,NA,6.59E-05,NA,NA,NA,NA,NA,NA,NA,-0.055220829,-0.018842959,0.9636454,0.946276159,0.98133346,0.003492104,Prostate cancer,ieu-b-85,"ZDHHC7_T cell, CD4, memory TREG_Prostate cancer_ieu-b-85",0.936184697,1,0.936185
