id,gene,cell,nsnp,b,se,CIlower,CIupper,pval,intercept,intercept_se,inter_CIlower,inter_CIupper,intercept_pval,hetero_Q,hetero_pvale,lo_ci,up_ci,or,or_lci95,or_uci95,fdr,cancer,cancerid,match,PPH4.PWCOCO.,ldcheck,H4..conventional.coloc.
"AC079922.3_Monocyte, classical",AC079922.3,"Monocyte, classical",1,-0.031482406,0.009926885,NA,NA,0.001516912,NA,NA,NA,NA,NA,NA,NA,-0.0509391,-0.012025712,0.969008005,0.950336545,0.988046308,0.038618996,Prostate cancer,ieu-b-85,"AC079922.3_Monocyte, classical_Prostate cancer_ieu-b-85",0.006885521,1,0.807265
"AC079922.3_T cell, CD4, TH2",AC079922.3,"T cell, CD4, TH2",1,-0.032763968,0.010330981,NA,NA,0.001516912,NA,NA,NA,NA,NA,NA,NA,-0.053012691,-0.012515246,0.967766956,0.948367977,0.987562744,0.038618996,Prostate cancer,ieu-b-85,"AC079922.3_T cell, CD4, TH2_Prostate cancer_ieu-b-85",0.006902451,1,0.807732
"AC079922.3_T cell, CD4, TH17",AC079922.3,"T cell, CD4, TH17",1,-0.032699467,0.010310643,NA,NA,0.001516912,NA,NA,NA,NA,NA,NA,NA,-0.052908327,-0.012490607,0.967829381,0.948466958,0.987587077,0.038618996,Prostate cancer,ieu-b-85,"AC079922.3_T cell, CD4, TH17_Prostate cancer_ieu-b-85",0.006913281,1,0.807877
"AC079922.3_T cell, CD4, naive",AC079922.3,"T cell, CD4, naive",1,-0.029612719,0.009337344,NA,NA,0.001516912,NA,NA,NA,NA,NA,NA,NA,-0.047913913,-0.011311525,0.970821442,0.953215843,0.98875221,0.038618996,Prostate cancer,ieu-b-85,"AC079922.3_T cell, CD4, naive_Prostate cancer_ieu-b-85",0.006376653,1,0.807717
"AC079922.3_T cell, CD8, naive",AC079922.3,"T cell, CD8, naive",1,-0.028517935,0.008992142,NA,NA,0.001516912,NA,NA,NA,NA,NA,NA,NA,-0.046142533,-0.010893337,0.971884863,0.954905847,0.98916578,0.038618996,Prostate cancer,ieu-b-85,"AC079922.3_T cell, CD8, naive_Prostate cancer_ieu-b-85",0.774727509,1,0.807555
"PLEKHH2_T cell, CD8, naive",PLEKHH2,"T cell, CD8, naive",1,0.031785308,0.007362698,NA,NA,1.58E-05,NA,NA,NA,NA,NA,NA,NA,0.017354419,0.046216197,1.032295856,1.017505882,1.04730081,0.000984894,Prostate cancer,ieu-b-85,"PLEKHH2_T cell, CD8, naive_Prostate cancer_ieu-b-85",0.002507397,0.987368145,1
"PLEKHH2_T cell, CD4, TH17",PLEKHH2,"T cell, CD4, TH17",1,0.038520988,0.007648235,NA,NA,4.74E-07,NA,NA,NA,NA,NA,NA,NA,0.023530448,0.053511529,1.039272541,1.023809473,1.054969155,6.37E-05,Prostate cancer,ieu-b-85,"PLEKHH2_T cell, CD4, TH17_Prostate cancer_ieu-b-85",0.934563305,0.96790376,0.934564
"GSTP1_Monocyte, non-classical",GSTP1,"Monocyte, non-classical",1,-0.030002337,0.008438157,NA,NA,0.000377181,NA,NA,NA,NA,NA,NA,NA,-0.046541125,-0.013463549,0.970443266,0.954525305,0.986626679,0.012911661,Prostate cancer,ieu-b-85,"GSTP1_Monocyte, non-classical_Prostate cancer_ieu-b-85",0.002699886,1,0.831306
"RP11-534L20.5_T cell, CD4, TH1 TH17",RP11-534L20.5,"T cell, CD4, TH1 TH17",1,-0.024132816,0.007203826,NA,NA,0.000808116,NA,NA,NA,NA,NA,NA,NA,-0.038252315,-0.010013318,0.976156052,0.962470065,0.990036649,0.02384961,Prostate cancer,ieu-b-85,"RP11-534L20.5_T cell, CD4, TH1 TH17_Prostate cancer_ieu-b-85",0.527278666,1,1
"RP11-534L20.5_T cell, CD4, TFH",RP11-534L20.5,"T cell, CD4, TFH",1,-0.023500171,0.007014976,NA,NA,0.000808116,NA,NA,NA,NA,NA,NA,NA,-0.037249525,-0.009750817,0.976773808,0.963435704,0.990296568,0.02384961,Prostate cancer,ieu-b-85,"RP11-534L20.5_T cell, CD4, TFH_Prostate cancer_ieu-b-85",0.659922914,1,1
"RP11-534L20.5_T cell, CD4, memory TREG",RP11-534L20.5,"T cell, CD4, memory TREG",1,-0.02401296,0.007168048,NA,NA,0.000808116,NA,NA,NA,NA,NA,NA,NA,-0.038062334,-0.009963586,0.976273057,0.962652933,0.990085886,0.02384961,Prostate cancer,ieu-b-85,"RP11-534L20.5_T cell, CD4, memory TREG_Prostate cancer_ieu-b-85",0.455409117,1,1
"RP11-534L20.5_T cell, CD4, naive",RP11-534L20.5,"T cell, CD4, naive",1,-0.023549831,0.0070298,NA,NA,0.000808116,NA,NA,NA,NA,NA,NA,NA,-0.03732824,-0.009771422,0.976725302,0.96335987,0.990276163,0.02384961,Prostate cancer,ieu-b-85,"RP11-534L20.5_T cell, CD4, naive_Prostate cancer_ieu-b-85",0.455437349,1,1
"PLEKHH2_T cell, CD4, TFH",PLEKHH2,"T cell, CD4, TFH",1,0.029873559,0.007019002,NA,NA,2.08E-05,NA,NA,NA,NA,NA,NA,NA,0.016116314,0.043630804,1.030324251,1.016246883,1.044596623,0.001230267,Prostate cancer,ieu-b-85,"PLEKHH2_T cell, CD4, TFH_Prostate cancer_ieu-b-85",0.001992963,0.983107944,1
"GGCX_T cell, CD4, TH1",GGCX,"T cell, CD4, TH1",1,-0.06875718,0.006806789,NA,NA,5.45E-24,NA,NA,NA,NA,NA,NA,NA,-0.082098486,-0.055415875,0.933553338,0.921181231,0.946091611,9.21E-21,Prostate cancer,ieu-b-85,"GGCX_T cell, CD4, TH1_Prostate cancer_ieu-b-85",0.975505266,1,0.975505
"AMT_B cell, naive",AMT,"B cell, naive",1,-0.034939697,0.00993493,NA,NA,0.000436694,NA,NA,NA,NA,NA,NA,NA,-0.054412159,-0.015467235,0.965663647,0.947041694,0.984651769,0.014335448,Prostate cancer,ieu-b-85,"AMT_B cell, naive_Prostate cancer_ieu-b-85",0.020987479,0.994956376,0.977836
"RGS17_NK cell, CD56dim CD16+",RGS17,"NK cell, CD56dim CD16+",1,-0.030951836,0.007369485,NA,NA,2.67E-05,NA,NA,NA,NA,NA,NA,NA,-0.045396026,-0.016507646,0.969522268,0.955618957,0.983627859,0.001572419,Prostate cancer,ieu-b-85,"RGS17_NK cell, CD56dim CD16+_Prostate cancer_ieu-b-85",0.003991789,0.996031944,1
"UHRF1BP1_T cell, CD4, memory TREG",UHRF1BP1,"T cell, CD4, memory TREG",1,0.042646632,0.007573609,NA,NA,1.79E-08,NA,NA,NA,NA,NA,NA,NA,0.027802358,0.057490906,1.043569066,1.028192451,1.059175638,4.39E-06,Prostate cancer,ieu-b-85,"UHRF1BP1_T cell, CD4, memory TREG_Prostate cancer_ieu-b-85",0.601286829,0.991245246,1
"UHRF1BP1_T cell, CD4, naive TREG",UHRF1BP1,"T cell, CD4, naive TREG",1,0.045686136,0.008113394,NA,NA,1.79E-08,NA,NA,NA,NA,NA,NA,NA,0.029783884,0.061588389,1.046745824,1.03023186,1.063524496,4.39E-06,Prostate cancer,ieu-b-85,"UHRF1BP1_T cell, CD4, naive TREG_Prostate cancer_ieu-b-85",0.688950884,0.991245246,1
"UHRF1BP1_T cell, CD4, TFH",UHRF1BP1,"T cell, CD4, TFH",1,0.041616904,0.00739074,NA,NA,1.79E-08,NA,NA,NA,NA,NA,NA,NA,0.027131054,0.056102755,1.042495027,1.027502452,1.057706362,4.39E-06,Prostate cancer,ieu-b-85,"UHRF1BP1_T cell, CD4, TFH_Prostate cancer_ieu-b-85",0.71596391,0.991245246,1
"RP4-607J23.2_Monocyte, non-classical",RP4-607J23.2,"Monocyte, non-classical",1,-0.049937224,0.008322871,NA,NA,1.97E-09,NA,NA,NA,NA,NA,NA,NA,-0.06625005,-0.033624397,0.951289141,0.935896814,0.96693462,8.57E-07,Prostate cancer,ieu-b-85,"RP4-607J23.2_Monocyte, non-classical_Prostate cancer_ieu-b-85",1.23E-13,1,1
"RP4-607J23.2_Monocyte, classical",RP4-607J23.2,"Monocyte, classical",1,-0.050369165,0.008394861,NA,NA,1.97E-09,NA,NA,NA,NA,NA,NA,NA,-0.066823093,-0.033915238,0.950878328,0.935360659,0.966653437,8.57E-07,Prostate cancer,ieu-b-85,"RP4-607J23.2_Monocyte, classical_Prostate cancer_ieu-b-85",2.06E-12,1,1
"LY6G5C_T cell, CD4, naive activated",LY6G5C,"T cell, CD4, naive activated",1,0.031489292,0.008076504,NA,NA,9.66E-05,NA,NA,NA,NA,NA,NA,NA,0.015659344,0.047319241,1.031990325,1.015782594,1.048456666,0.004722935,Prostate cancer,ieu-b-85,"LY6G5C_T cell, CD4, naive activated_Prostate cancer_ieu-b-85",5.44E-08,1,1
"CYB5R2_T cell, CD4, TH17",CYB5R2,"T cell, CD4, TH17",1,-0.033250556,0.009230087,NA,NA,0.000315281,NA,NA,NA,NA,NA,NA,NA,-0.051341527,-0.015159585,0.967296167,0.94995418,0.984954743,0.011118228,Prostate cancer,ieu-b-85,"CYB5R2_T cell, CD4, TH17_Prostate cancer_ieu-b-85",0.728807116,1,1
"PPFIBP2_T cell, CD4, TH17",PPFIBP2,"T cell, CD4, TH17",1,-0.026338115,0.007311249,NA,NA,0.000315281,NA,NA,NA,NA,NA,NA,NA,-0.040668163,-0.012008066,0.974005708,0.96014769,0.988063743,0.011118228,Prostate cancer,ieu-b-85,"PPFIBP2_T cell, CD4, TH17_Prostate cancer_ieu-b-85",0.728807116,1,1
"RP11-589M4.2_T cell, CD4, TFH",RP11-589M4.2,"T cell, CD4, TFH",1,-0.039265463,0.009354419,NA,NA,2.70E-05,NA,NA,NA,NA,NA,NA,NA,-0.057600124,-0.020930801,0.961495434,0.944027366,0.979286728,0.001583518,Prostate cancer,ieu-b-85,"RP11-589M4.2_T cell, CD4, TFH_Prostate cancer_ieu-b-85",0.903405618,1,0.903406
"NCAPD2_T cell, CD4, TH17",NCAPD2,"T cell, CD4, TH17",1,-0.033316407,0.010450177,NA,NA,0.001432017,NA,NA,NA,NA,NA,NA,NA,-0.053798755,-0.012834059,0.967232472,0.947622792,0.987247946,0.037333145,Prostate cancer,ieu-b-85,"NCAPD2_T cell, CD4, TH17_Prostate cancer_ieu-b-85",0.004241395,0.974093989,1
"RPS6KL1_T cell, CD4, TFH",RPS6KL1,"T cell, CD4, TFH",1,0.036892878,0.010921357,NA,NA,0.000730021,NA,NA,NA,NA,NA,NA,NA,0.015487017,0.058298738,1.037581867,1.015607563,1.06003162,0.021928051,Prostate cancer,ieu-b-85,"RPS6KL1_T cell, CD4, TFH_Prostate cancer_ieu-b-85",0.006543516,0.983322124,1
"RP1-228P16.1_NK cell, CD56dim CD16+",RP1-228P16.1,"NK cell, CD56dim CD16+",1,-0.036683829,0.009815403,NA,NA,0.000185952,NA,NA,NA,NA,NA,NA,NA,-0.055922019,-0.01744564,0.96398087,0.945612873,0.982705655,0.007807433,Prostate cancer,ieu-b-85,"RP1-228P16.1_NK cell, CD56dim CD16+_Prostate cancer_ieu-b-85",0.920230853,1,0.920231
"ZFP30_T cell, CD8, naive",ZFP30,"T cell, CD8, naive",1,-0.047499036,0.011560006,NA,NA,3.98E-05,NA,NA,NA,NA,NA,NA,NA,-0.070156649,-0.024841424,0.953611392,0.932247773,0.975464585,0.002221342,Prostate cancer,ieu-b-85,"ZFP30_T cell, CD8, naive_Prostate cancer_ieu-b-85",0.776222546,1,0.815006
"TMEM180_T cell, CD4, naive TREG",TMEM180,"T cell, CD4, naive TREG",1,0.070138327,0.009657601,NA,NA,3.80E-13,NA,NA,NA,NA,NA,NA,NA,0.051209429,0.089067225,1.072656548,1.052543303,1.093154141,2.51E-10,Prostate cancer,ieu-b-85,"TMEM180_T cell, CD4, naive TREG_Prostate cancer_ieu-b-85",0.002208011,0.995744537,0.99328
"CCDC53_Monocyte, non-classical",CCDC53,"Monocyte, non-classical",1,-0.042975064,0.010057994,NA,NA,1.93E-05,NA,NA,NA,NA,NA,NA,NA,-0.062688732,-0.023261397,0.957935276,0.939235782,0.977007064,0.001169273,Prostate cancer,ieu-b-85,"CCDC53_Monocyte, non-classical_Prostate cancer_ieu-b-85",0.925239816,1,0.92524
"NINL_T cell, CD4, naive",NINL,"T cell, CD4, naive",1,-0.031607175,0.009888278,NA,NA,0.001391403,NA,NA,NA,NA,NA,NA,NA,-0.0509882,-0.01222615,0.968887111,0.950289884,0.987848286,0.036461948,Prostate cancer,ieu-b-85,"NINL_T cell, CD4, naive_Prostate cancer_ieu-b-85",0.492771597,0.971624204,0.814281
"NINL_T cell, CD4, TFH",NINL,"T cell, CD4, TFH",1,-0.031544974,0.009868819,NA,NA,0.001391403,NA,NA,NA,NA,NA,NA,NA,-0.050887858,-0.012202089,0.968947379,0.950385243,0.987872054,0.036461948,Prostate cancer,ieu-b-85,"NINL_T cell, CD4, TFH_Prostate cancer_ieu-b-85",0.544353789,0.971624204,0.818212
"AC012454.4_Monocyte, classical",AC012454.4,"Monocyte, classical",1,-0.035655814,0.008994259,NA,NA,7.36E-05,NA,NA,NA,NA,NA,NA,NA,-0.053284562,-0.018027066,0.964972366,0.948110178,0.98213445,0.003818738,Prostate cancer,ieu-b-85,"AC012454.4_Monocyte, classical_Prostate cancer_ieu-b-85",9.72E-18,1,1
"AC105053.3_Monocyte, classical",AC105053.3,"Monocyte, classical",1,-0.038740886,0.009772476,NA,NA,7.36E-05,NA,NA,NA,NA,NA,NA,NA,-0.057894938,-0.019586833,0.961999945,0.943749094,0.980603742,0.003818738,Prostate cancer,ieu-b-85,"AC105053.3_Monocyte, classical_Prostate cancer_ieu-b-85",9.72E-18,1,1
"AC093818.1_B cell, naive",AC093818.1,"B cell, naive",1,0.080456685,0.009953404,NA,NA,6.30E-16,NA,NA,NA,NA,NA,NA,NA,0.060948013,0.099965358,1.083781902,1.062843659,1.105132633,5.32E-13,Prostate cancer,ieu-b-85,"AC093818.1_B cell, naive_Prostate cancer_ieu-b-85",0.046999124,0.980830756,0.997882
"PDK1_B cell, naive",PDK1,"B cell, naive",1,0.08032,0.009936495,NA,NA,6.30E-16,NA,NA,NA,NA,NA,NA,NA,0.06084447,0.09979553,1.083633775,1.062733614,1.104944967,5.32E-13,Prostate cancer,ieu-b-85,"PDK1_B cell, naive_Prostate cancer_ieu-b-85",0.046999124,0.980830756,0.997882
"ITGA6_B cell, naive",ITGA6,"B cell, naive",1,0.086073495,0.010648267,NA,NA,6.30E-16,NA,NA,NA,NA,NA,NA,NA,0.065202891,0.106944099,1.089886427,1.067375563,1.112872042,5.32E-13,Prostate cancer,ieu-b-85,"ITGA6_B cell, naive_Prostate cancer_ieu-b-85",0.046999124,0.980830756,0.997882
"L3MBTL3_T cell, CD8, naive activated",L3MBTL3,"T cell, CD8, naive activated",1,-0.035968511,0.008966362,NA,NA,6.03E-05,NA,NA,NA,NA,NA,NA,NA,-0.053542581,-0.018394441,0.96467067,0.947865579,0.981773704,0.00325192,Prostate cancer,ieu-b-85,"L3MBTL3_T cell, CD8, naive activated_Prostate cancer_ieu-b-85",0.85120395,1,0.851204
"HLA-G_T cell, CD8, naive activated",HLA-G,"T cell, CD8, naive activated",1,0.032541695,0.00705511,NA,NA,3.98E-06,NA,NA,NA,NA,NA,NA,NA,0.018713679,0.04636971,1.033076966,1.018889877,1.047461596,0.00030852,Prostate cancer,ieu-b-85,"HLA-G_T cell, CD8, naive activated_Prostate cancer_ieu-b-85",0.000661686,0.964775773,1
"HLA-J_T cell, CD8, naive activated",HLA-J,"T cell, CD8, naive activated",1,0.037449355,0.008119101,NA,NA,3.98E-06,NA,NA,NA,NA,NA,NA,NA,0.021535916,0.053362793,1.038159418,1.021769488,1.054812255,0.00030852,Prostate cancer,ieu-b-85,"HLA-J_T cell, CD8, naive activated_Prostate cancer_ieu-b-85",0.0006618,0.968586652,1
"UHRF1BP1_T cell, CD4, TH2",UHRF1BP1,"T cell, CD4, TH2",1,0.04099525,0.007421554,NA,NA,3.32E-08,NA,NA,NA,NA,NA,NA,NA,0.026449004,0.055541495,1.041847156,1.026801883,1.057112881,7.53E-06,Prostate cancer,ieu-b-85,"UHRF1BP1_T cell, CD4, TH2_Prostate cancer_ieu-b-85",0.715965275,1,1
"UHRF1BP1_T cell, CD4, naive",UHRF1BP1,"T cell, CD4, naive",1,0.042069929,0.007616108,NA,NA,3.32E-08,NA,NA,NA,NA,NA,NA,NA,0.027142358,0.056997501,1.04296741,1.027514067,1.058653165,7.53E-06,Prostate cancer,ieu-b-85,"UHRF1BP1_T cell, CD4, naive_Prostate cancer_ieu-b-85",0.688944971,1,1
"RP5-1029F21.2_Monocyte, non-classical",RP5-1029F21.2,"Monocyte, non-classical",1,-0.037517322,0.010217483,NA,NA,0.000240777,NA,NA,NA,NA,NA,NA,NA,-0.05754359,-0.017491054,0.963177733,0.944080737,0.982661026,0.009630464,Prostate cancer,ieu-b-85,"RP5-1029F21.2_Monocyte, non-classical_Prostate cancer_ieu-b-85",5.18E-20,0.989382334,1
"RP4-607J23.2_T cell, CD4, TH2",RP4-607J23.2,"T cell, CD4, TH2",1,-0.064095912,0.010568486,NA,NA,1.32E-09,NA,NA,NA,NA,NA,NA,NA,-0.084810145,-0.043381679,0.937915038,0.918686685,0.957545845,6.27E-07,Prostate cancer,ieu-b-85,"RP4-607J23.2_T cell, CD4, TH2_Prostate cancer_ieu-b-85",0.008951443,1,0.999933
"TUBA1C_Monocyte, non-classical",TUBA1C,"Monocyte, non-classical",1,0.049458461,0.011320193,NA,NA,1.25E-05,NA,NA,NA,NA,NA,NA,NA,0.027270883,0.071646038,1.050701946,1.027646137,1.074275024,0.000824642,Prostate cancer,ieu-b-85,"TUBA1C_Monocyte, non-classical_Prostate cancer_ieu-b-85",0.906004001,0.990651949,0.906004
"TRAF1_T cell, CD4, TH2",TRAF1,"T cell, CD4, TH2",1,0.033314282,0.010712828,NA,NA,0.001872419,NA,NA,NA,NA,NA,NA,NA,0.012317139,0.054311425,1.033875417,1.012393308,1.055813357,0.046049991,Prostate cancer,ieu-b-85,"TRAF1_T cell, CD4, TH2_Prostate cancer_ieu-b-85",0.00410938,0.947599062,1
"SESN1_T cell, CD4, memory TREG",SESN1,"T cell, CD4, memory TREG",1,0.051694394,0.009890706,NA,NA,1.73E-07,NA,NA,NA,NA,NA,NA,NA,0.03230861,0.071080178,1.053053873,1.032836199,1.073667307,2.88E-05,Prostate cancer,ieu-b-85,"SESN1_T cell, CD4, memory TREG_Prostate cancer_ieu-b-85",0.590521965,0.942827406,0.853553
"TMEM180_T cell, CD8, naive",TMEM180,"T cell, CD8, naive",1,0.062353863,0.00858573,NA,NA,3.80E-13,NA,NA,NA,NA,NA,NA,NA,0.045525832,0.079181893,1.064338908,1.04657804,1.082401186,2.51E-10,Prostate cancer,ieu-b-85,"TMEM180_T cell, CD8, naive_Prostate cancer_ieu-b-85",0.87601763,0.991508105,0.876018
"SESN1_T cell, CD4, naive",SESN1,"T cell, CD4, naive",1,0.043445609,0.007911392,NA,NA,3.98E-08,NA,NA,NA,NA,NA,NA,NA,0.027939281,0.058951937,1.044403187,1.028333243,1.060724258,8.65E-06,Prostate cancer,ieu-b-85,"SESN1_T cell, CD4, naive_Prostate cancer_ieu-b-85",0.590162586,0.990966494,0.992208
"SEPTIN2 _T cell, CD4, TFH",SEPTIN2 ,"T cell, CD4, TFH",1,-0.03375123,0.010094546,NA,NA,0.000827253,NA,NA,NA,NA,NA,NA,NA,-0.053536539,-0.01396592,0.966811989,0.947871306,0.986131151,0.024367084,Prostate cancer,ieu-b-85,"SEPTIN2 _T cell, CD4, TFH_Prostate cancer_ieu-b-85",0.005433263,1,0.999876
"LY6G5C_T cell, CD8, naive activated",LY6G5C,"T cell, CD8, naive activated",1,0.029646542,0.007692543,NA,NA,0.000116236,NA,NA,NA,NA,NA,NA,NA,0.014569158,0.044723927,1.030090376,1.014675805,1.045739119,0.005337357,Prostate cancer,ieu-b-85,"LY6G5C_T cell, CD8, naive activated_Prostate cancer_ieu-b-85",9.89E-05,1,1
"LY6G5C_T cell, CD4, naive",LY6G5C,"T cell, CD4, naive",1,0.034729508,0.009011447,NA,NA,0.000116236,NA,NA,NA,NA,NA,NA,NA,0.017067072,0.052391943,1.03533962,1.017213547,1.053788687,0.005337357,Prostate cancer,ieu-b-85,"LY6G5C_T cell, CD4, naive_Prostate cancer_ieu-b-85",4.16E-08,0.995327471,1
"LY6G5C_T cell, CD4, naive TREG",LY6G5C,"T cell, CD4, naive TREG",1,0.031256434,0.00811027,NA,NA,0.000116236,NA,NA,NA,NA,NA,NA,NA,0.015360305,0.047152564,1.031750046,1.015478881,1.048281927,0.005337357,Prostate cancer,ieu-b-85,"LY6G5C_T cell, CD4, naive TREG_Prostate cancer_ieu-b-85",7.57E-10,1,1
"LY6G5C_B cell, naive",LY6G5C,"B cell, naive",1,0.033670225,0.008736589,NA,NA,0.000116236,NA,NA,NA,NA,NA,NA,NA,0.016546511,0.05079394,1.034243483,1.016684162,1.052106074,0.005337357,Prostate cancer,ieu-b-85,"LY6G5C_B cell, naive_Prostate cancer_ieu-b-85",3.29E-08,1,1
"LY6G5C_NK cell, CD56dim CD16+",LY6G5C,"NK cell, CD56dim CD16+",1,0.04229803,0.010975291,NA,NA,0.000116236,NA,NA,NA,NA,NA,NA,NA,0.02078646,0.0638096,1.043205339,1.021004004,1.065889434,0.005337357,Prostate cancer,ieu-b-85,"LY6G5C_NK cell, CD56dim CD16+_Prostate cancer_ieu-b-85",1.81E-06,1,1
"LY6G5C_T cell, CD4, TH1 TH17",LY6G5C,"T cell, CD4, TH1 TH17",1,0.0345916,0.008975663,NA,NA,0.000116236,NA,NA,NA,NA,NA,NA,NA,0.016999301,0.0521839,1.035196848,1.017144611,1.053569476,0.005337357,Prostate cancer,ieu-b-85,"LY6G5C_T cell, CD4, TH1 TH17_Prostate cancer_ieu-b-85",5.47E-08,1,1
"LY6G5C_T cell, CD4, TH17",LY6G5C,"T cell, CD4, TH17",1,0.036748135,0.00953523,NA,NA,0.000116236,NA,NA,NA,NA,NA,NA,NA,0.018059083,0.055437186,1.037431695,1.018223135,1.057002621,0.005337357,Prostate cancer,ieu-b-85,"LY6G5C_T cell, CD4, TH17_Prostate cancer_ieu-b-85",3.83E-07,1,1
"LY6G5C_Monocyte, non-classical",LY6G5C,"Monocyte, non-classical",1,0.030793337,0.007990108,NA,NA,0.000116236,NA,NA,NA,NA,NA,NA,NA,0.015132725,0.046453948,1.031272356,1.015247805,1.047549836,0.005337357,Prostate cancer,ieu-b-85,"LY6G5C_Monocyte, non-classical_Prostate cancer_ieu-b-85",3.18E-05,1,1
"LY6G5C_T cell, CD4, memory TREG",LY6G5C,"T cell, CD4, memory TREG",1,0.03857009,0.010007983,NA,NA,0.000116236,NA,NA,NA,NA,NA,NA,NA,0.018954444,0.058185736,1.039323572,1.01913522,1.059911842,0.005337357,Prostate cancer,ieu-b-85,"LY6G5C_T cell, CD4, memory TREG_Prostate cancer_ieu-b-85",9.35E-07,1,1
"LY6G5B_T cell, CD4, naive TREG",LY6G5B,"T cell, CD4, naive TREG",1,0.034730495,0.010086744,NA,NA,0.000574913,NA,NA,NA,NA,NA,NA,NA,0.014960476,0.054500514,1.035340642,1.015072944,1.056013019,0.018348265,Prostate cancer,ieu-b-85,"LY6G5B_T cell, CD4, naive TREG_Prostate cancer_ieu-b-85",7.57E-10,0.830934341,1
"DNMT3B_T cell, CD8, naive",DNMT3B,"T cell, CD8, naive",1,0.042369651,0.008868066,NA,NA,1.77E-06,NA,NA,NA,NA,NA,NA,NA,0.024988241,0.059751061,1.043280057,1.025303063,1.061572247,0.000173801,Prostate cancer,ieu-b-85,"DNMT3B_T cell, CD8, naive_Prostate cancer_ieu-b-85",0.807063847,0.996049909,0.807064
"DNMT3B_T cell, CD4, naive",DNMT3B,"T cell, CD4, naive",1,0.038841035,0.008129519,NA,NA,1.77E-06,NA,NA,NA,NA,NA,NA,NA,0.022907178,0.054774892,1.03960521,1.023171562,1.056302806,0.000173801,Prostate cancer,ieu-b-85,"DNMT3B_T cell, CD4, naive_Prostate cancer_ieu-b-85",0.797270272,0.996049909,1
"PM20D1_T cell, CD4, memory TREG",PM20D1,"T cell, CD4, memory TREG",1,0.034439679,0.007313803,NA,NA,2.49E-06,NA,NA,NA,NA,NA,NA,NA,0.020104626,0.048774733,1.035039592,1.020308085,1.049983797,0.000215122,Prostate cancer,ieu-b-85,"PM20D1_T cell, CD4, memory TREG_Prostate cancer_ieu-b-85",0.784433673,0.995894223,0.993686
"PM20D1_T cell, CD8, naive activated",PM20D1,"T cell, CD8, naive activated",1,0.047818318,0.010154965,NA,NA,2.49E-06,NA,NA,NA,NA,NA,NA,NA,0.027914586,0.06772205,1.048980057,1.028307849,1.070067842,0.000215122,Prostate cancer,ieu-b-85,"PM20D1_T cell, CD8, naive activated_Prostate cancer_ieu-b-85",0.638792071,0.995894223,0.961095
"PM20D1_B cell, naive",PM20D1,"B cell, naive",1,0.043586333,0.007596747,NA,NA,9.61E-09,NA,NA,NA,NA,NA,NA,NA,0.02869671,0.058475956,1.04455017,1.029112428,1.060219494,2.66E-06,Prostate cancer,ieu-b-85,"PM20D1_B cell, naive_Prostate cancer_ieu-b-85",0.94808445,0.943971583,0.948084
"PM20D1_T cell, CD4, TH17",PM20D1,"T cell, CD4, TH17",1,0.04455481,0.007765544,NA,NA,9.61E-09,NA,NA,NA,NA,NA,NA,NA,0.029334343,0.059775277,1.045562282,1.029768833,1.061597954,2.66E-06,Prostate cancer,ieu-b-85,"PM20D1_T cell, CD4, TH17_Prostate cancer_ieu-b-85",0.953873944,0.943971583,0.953881
"PM20D1_T cell, CD4, naive activated",PM20D1,"T cell, CD4, naive activated",1,0.055105299,0.009604409,NA,NA,9.61E-09,NA,NA,NA,NA,NA,NA,NA,0.036280656,0.073929941,1.056651873,1.036946831,1.076731368,2.66E-06,Prostate cancer,ieu-b-85,"PM20D1_T cell, CD4, naive activated_Prostate cancer_ieu-b-85",0.000144925,0.943971583,1
"SLC41A1_T cell, CD4, TH17",SLC41A1,"T cell, CD4, TH17",1,-0.05178349,0.0095234,NA,NA,5.40E-08,NA,NA,NA,NA,NA,NA,NA,-0.070449354,-0.033117625,0.949534429,0.931974939,0.96742476,1.08E-05,Prostate cancer,ieu-b-85,"SLC41A1_T cell, CD4, TH17_Prostate cancer_ieu-b-85",0.953882809,0.988570844,0.953889
"SLC41A1_NK cell, CD56dim CD16+",SLC41A1,"NK cell, CD56dim CD16+",1,-0.050590855,0.009304065,NA,NA,5.40E-08,NA,NA,NA,NA,NA,NA,NA,-0.068826823,-0.032354887,0.950667552,0.933488325,0.968162933,1.08E-05,Prostate cancer,ieu-b-85,"SLC41A1_NK cell, CD56dim CD16+_Prostate cancer_ieu-b-85",0.973674631,0.988570844,0.973675
"SLC41A1_Monocyte, non-classical",SLC41A1,"Monocyte, non-classical",1,-0.058315117,0.009923371,NA,NA,4.19E-09,NA,NA,NA,NA,NA,NA,NA,-0.077764924,-0.03886531,0.943352634,0.925181889,0.961880256,1.38E-06,Prostate cancer,ieu-b-85,"SLC41A1_Monocyte, non-classical_Prostate cancer_ieu-b-85",0.922802029,0.995830356,0.922802
"SLC41A1_T cell, CD8, naive",SLC41A1,"T cell, CD8, naive",1,-0.051858055,0.008824585,NA,NA,4.19E-09,NA,NA,NA,NA,NA,NA,NA,-0.069154241,-0.034561868,0.949463629,0.933182734,0.966028571,1.38E-06,Prostate cancer,ieu-b-85,"SLC41A1_T cell, CD8, naive_Prostate cancer_ieu-b-85",0.597629753,0.995830356,1
